Brand,Generic Category,Category,Sub Category,SKU,Product Name,Product Variant Name,Processor,Connectivity,Memory,Storage,Colour,Display,ALP Inc VAT,Media URLs,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,AirPods,MWW83HN/A,AirPods Max,AirPods Max - Purple,,,,,,,"59,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Apple iPad,MX2D3ZM/A,Apple Pencil,Apple Pencil Pro,,,,,,,"11,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Mice & Keyboards,MX3L2HN/A,Smart Keyboard for,Smart Keyboard for iPad (9th generation),,,,,,,"15,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,AirTag,MX532ZM/A,AirTag,AirTag (1 Pack),,,,,,,"3,490.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,AirTag,MX542ZM/A,AirTag,AirTag (4 Pack),,,,,,,"11,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MX5J3ZM/A,Lightning to USB,Lightning to USB 3 Camera Adapter,,,,,,,"4,000.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MX6X3ZM/A,MagSafe Charger (1 m),MagSafe Charger (1 m),,,,,,,"4,500.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MX6Y3ZM/A,MagSafe Charger (2 m),MagSafe Charger (2 m),,,,,,,"5,500.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Mice & Keyboards,MXCJ3HN/A,Magic Keyboard,Magic Keyboard with Numeric Keypad - US English - Silver,,,,,,,"12,500.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Mice & Keyboards,MXCK3HN/A,Magic Keyboard,Magic Keyboard with Touch ID for Mac models with Apple silicon (USB–C) - US English,,,,,,,"14,500.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Mice & Keyboards,MXCL3HN/A,Magic Keyboard,Magic Keyboard (USB–C) - US English,,,,,,,"9,500.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MXK22ZM/A,Lightning to 3.5,Lightning to 3.5 mm Audio Cable (1.2m) - White,,,,,,,"3,800.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Mice & Keyboards,MXK53ZM/A,Magic Mouse,Magic Mouse - White Multi-Touch Surface,,,,,,,"7,500.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Mice & Keyboards,MXK63ZM/A,Magic Mouse,Magic Mouse - Black Multi-Touch Surface,,,,,,,"9,500.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Mice & Keyboards,MXK73HN/A,Magic Keyboard,Magic Keyboard with Touch ID and Numeric Keypad for Mac models with Apple silicon - US English - White Keys,,,,,,,"17,500.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Mice & Keyboards,MXK83HN/A,Magic Keyboard,Magic Keyboard with Touch ID and Numeric Keypad for Mac models with Apple silicon - US English - Black Keys,,,,,,,"19,500.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Mice & Keyboards,MXK93ZM/A,Magic Trackpad,Magic Trackpad - White Multi-Touch Surface,,,,,,,"12,500.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Mice & Keyboards,MXKA3ZM/A,Magic Trackpad,Magic Trackpad - Black Multi-Touch Surface,,,,,,,"14,500.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Apple iPad,MXN43HN/A,Apple Pencil,Apple Pencil (2nd Generation),,,,,,,"11,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Power & Cables,MXN53HN/A,70W USB-C Power,70W USB-C Power Adapter,,,,,,,"5,800.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Mice & Keyboards,MXNK2HN/A,Smart Keyboard Folio,Smart Keyboard Folio for iPad Pro 11-inch (4th generation) and iPad Air (5th generation) - US English,,,,,,,"17,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,Mice & Keyboards,MXNL2HN/A,9-inch iPad Pro,Smart Keyboard Folio for 12.9-inch iPad Pro (6th generation),,,,,,,"19,900.00",,,,,,,,,,,,,,,,,,,,
APPLE,Accessories,ACCESSORIES,AirPods,MXP63HN/A,AirPods,AirPods 4,,,,,,,"12,900.00",,,,,,,,,,,,,,,,,,,,
