BRAND,CATEGORY,SUB CATEGORY,SKU,Description,Processor,Connectivity,Memory,Storage,Colour,Display,ALP Inc VAT
APPLE,APPLE CARE,Mac AppleCare,SF8C2HN/A,AppleCare+ for 13‑inch MacBook Air (M2),,,,,,,"17,900.00"
APPLE,APPLE CARE,Mac AppleCare,SF932HN/A,AppleCare+ for 13-inch MacBook Pro (M2),,,,,,,"22,900.00"
APPLE,APPLE CARE,Mac AppleCare,SGAQ2HN/A,AppleCare+ for 14‑inch MacBook Pro (M2),,,,,,,"26,900.00"
APPLE,APPLE CARE,Mac AppleCare,SGCT2HN/A,AppleCare+ for 16‑inch MacBook Pro (M2),,,,,,,"37,900.00"
APPLE,APPLE CARE,Mac AppleCare,SGQQ2HN/A,AppleCare+ for Mac mini (M2),,,,,,,"9,900.00"
APPLE,APPLE CARE,Mac AppleCare,SJFY2HN/A,AppleCare+ for 15‑inch MacBook Air (M2),,,,,,,"21,900.00"
APPLE,APPLE CARE,Mac AppleCare,SJGC2HN/A,AppleCare+ for Mac Studio (M2),,,,,,,"16,900.00"
APPLE,APPLE CARE,Mac AppleCare,SJGQ2HN/A,AppleCare+ for Mac Pro (M2),,,,,,,"49,900.00"
APPLE,APPLE CARE,Mac AppleCare,SL9K2HN/A,AppleCare+ for 14‑inch MacBook Pro (M3),,,,,,,"26,900.00"
APPLE,APPLE CARE,Mac AppleCare,SL9L2HN/A,AppleCare+ for 14-in MB Pro (M3 Pro/M3 Max),,,,,,,"26,900.00"
APPLE,APPLE CARE,Mac AppleCare,SL9M2HN/A,AppleCare+ for 16‑inch MacBook Pro (M3),,,,,,,"37,900.00"
APPLE,APPLE CARE,Mac AppleCare,SLA62HN/A,AppleCare+ for iMac (M3),,,,,,,"16,900.00"
APPLE,APPLE CARE,Mac AppleCare,SLPJ2HN/A,AppleCare+ for 13‑inch MacBook Air (M3),,,,,,,"19,900.00"
APPLE,APPLE CARE,Mac AppleCare,SLPL2HN/A,AppleCare+ for 15‑inch MacBook Air (M3),,,,,,,"21,900.00"
APPLE,APPLE CARE,Mac AppleCare,SR172HN/A,AppleCare+ for 14-inch MacBook Pro (M4),,,,,,,"26,900.00"
APPLE,APPLE CARE,Mac AppleCare,SR182HN/A,AppleCare+ for 14-in MacBook Pro (M4 Pro/M4 Max),,,,,,,"26,900.00"
APPLE,APPLE CARE,Mac AppleCare,SR192HN/A,AppleCare+ for 16-in MacBook Pro (M4 Pro/M4 Max),,,,,,,"37,900.00"
APPLE,APPLE CARE,Mac AppleCare,SR1A2HN/A,AppleCare+ for iMac (M4),,,,,,,"16,900.00"
APPLE,APPLE CARE,Mac AppleCare,SR1C2HN/A,AppleCare+ for Mac mini (M4),,,,,,,"9,900.00"
APPLE,APPLE CARE,Mac AppleCare,STKT2HN/A,AppleCare+ for Mac Studio (M4),,,,,,,"16,900.00"
APPLE,APPLE CARE,Mac AppleCare,SUWE2HN/A,AppleCare+ for 13-inch MacBook Air (M4),,,,,,,"19,900.00"
APPLE,APPLE CARE,Mac AppleCare,SUWF2HN/A,AppleCare+ for 15-inch MacBook Air (M4),,,,,,,"21,900.00"
APPLE,APPLE CARE,Apple Watch,S8646HN/A,AppleCare+ for Apple Watch SE Aluminium,,,,,,,"4,900.00"
APPLE,APPLE CARE,Apple Watch,S8647HN/A,AppleCare+ for Apple Watch Nike SE,,,,,,,"4,900.00"
APPLE,APPLE CARE,Apple Watch,S8678HN/A,AppleCare+ for Apple Watch Series 6 Aluminium,,,,,,,"7,900.00"
APPLE,APPLE CARE,Apple Watch,S8679HN/A,AppleCare+ for Apple Watch Nike Series 6,,,,,,,"7,900.00"
APPLE,APPLE CARE,Apple Watch,S8717HN/A,AppleCare+ for Apple Watch Series 6 Stainless Steel,,,,,,,"7,900.00"
APPLE,APPLE CARE,Apple Watch,SCCU2HN/A,AppleCare+ for Apple Watch Series 7 Aluminum,,,,,,,"7,900.00"
APPLE,APPLE CARE,Apple Watch,SCCV2HN/A,AppleCare+ for Apple Watch Nike Series 7,,,,,,,"7,900.00"
APPLE,APPLE CARE,Apple Watch,SCCW2HN/A,AppleCare+ for Apple Watch Series 7 Stainless Steel,,,,,,,"7,900.00"
APPLE,APPLE CARE,Apple Watch,SG1L2HN/A,AppleCare+ for Apple Watch Series 8 Aluminum,,,,,,,"7,900.00"
APPLE,APPLE CARE,Apple Watch,SG282HN/A,AppleCare+ for Apple Watch SE (2nd generation),,,,,,,"4,900.00"
APPLE,APPLE CARE,Apple Watch,SG2L2HN/A,AppleCare+ for Apple Watch Series 8 Stainless Steel,,,,,,,"7,900.00"
APPLE,APPLE CARE,Apple Watch,SG2U2HN/A,AppleCare+ for Apple Watch Ultra Titanium,,,,,,,"9,900.00"
APPLE,APPLE CARE,Apple Watch,SJXC2HN/A,AppleCare+ for Apple Watch Series 9 Aluminum,,,,,,,"7,900.00"
APPLE,APPLE CARE,Apple Watch,SJXD2HN/A,AppleCare+ for Apple Watch Ultra 2,,,,,,,"9,900.00"
APPLE,APPLE CARE,Apple Watch,SJY32HN/A,AppleCare+ for Apple Watch Series 9 Stainless Steel,,,,,,,"7,900.00"
APPLE,APPLE CARE,Apple Watch,SNMF2HN/A,AppleCare+ for Apple Watch Series 10 Aluminium,,,,,,,"7,900.00"
APPLE,APPLE CARE,Apple Watch,SNN72HN/A,AppleCare+ for Apple Watch Series 10 Titanium,,,,,,,"7,900.00"
APPLE,IPAD,iPad Air,MC9W4HN/A,11-inch iPad Air Wi-Fi 128GB - Space Grey,-,Wi-Fi,,128GB,Space Grey,,"59,900.00"
APPLE,IPAD,iPad Air,MC9X4HN/A,11-inch iPad Air Wi-Fi 128GB - Blue,-,Wi-Fi,,128GB,Blue,,"59,900.00"
APPLE,IPAD,iPad Air,MC9Y4HN/A,11-inch iPad Air Wi-Fi 128GB - Starlight,-,Wi-Fi,,128GB,Starlight,,"59,900.00"
APPLE,IPAD,iPad Air,MCA04HN/A,11-inch iPad Air Wi-Fi 128GB - Purple,-,Wi-Fi,,128GB,Purple,,"59,900.00"
APPLE,IPAD,iPad Air,MCA14HN/A,11-inch iPad Air Wi-Fi 256GB - Space Grey,-,Wi-Fi,,256GB,Space Grey,,"69,900.00"
APPLE,IPAD,iPad Air,MCA34HN/A,11-inch iPad Air Wi-Fi 256GB - Blue,-,Wi-Fi,,256GB,Blue,,"69,900.00"
APPLE,IPAD,iPad Air,MCA44HN/A,11-inch iPad Air Wi-Fi 256GB - Starlight,-,Wi-Fi,,256GB,Starlight,,"69,900.00"
APPLE,IPAD,iPad Air,MCA64HN/A,11-inch iPad Air Wi-Fi 256GB - Purple,-,Wi-Fi,,256GB,Purple,,"69,900.00"
APPLE,IPAD,iPad Air,MCA74HN/A,11-inch iPad Air Wi-Fi 512GB - Space Grey,-,Wi-Fi,,512GB,Space Grey,,"89,900.00"
APPLE,IPAD,iPad Air,MCA94HN/A,11-inch iPad Air Wi-Fi 512GB - Blue,-,Wi-Fi,,512GB,Blue,,"89,900.00"
APPLE,IPAD,iPad Air,MCAA4HN/A,11-inch iPad Air Wi-Fi 512GB - Starlight,-,Wi-Fi,,512GB,Starlight,,"89,900.00"
APPLE,IPAD,iPad Air,MCAE4HN/A,11-inch iPad Air Wi-Fi 512GB - Purple,-,Wi-Fi,,512GB,Purple,,"89,900.00"
APPLE,IPAD,iPad Air,MCAH4HN/A,11-inch iPad Air Wi-Fi 1TB - Space Grey,-,Wi-Fi,,1TB,Space Grey,,"109,900.00"
APPLE,IPAD,iPad Air,MCAJ4HN/A,11-inch iPad Air Wi-Fi 1TB - Blue,-,Wi-Fi,,1TB,Blue,,"109,900.00"
APPLE,IPAD,iPad Air,MCAQ4HN/A,11-inch iPad Air Wi-Fi 1TB - Starlight,-,Wi-Fi,,1TB,Starlight,,"109,900.00"
APPLE,IPAD,iPad Air,MCAU4HN/A,11-inch iPad Air Wi-Fi 1TB - Purple,-,Wi-Fi,,1TB,Purple,,"109,900.00"
APPLE,IPAD,iPad Air,MCFV4HN/A,11-inch iPad Air Wi-Fi + Cellular 128GB - Space Grey,-,Wi-Fi + Cellular,,128GB,Space Grey,,"74,900.00"
APPLE,IPAD,iPad Air,MCFW4HN/A,11-inch iPad Air Wi-Fi + Cellular 128GB - Blue,-,Wi-Fi + Cellular,,128GB,Blue,,"74,900.00"
APPLE,IPAD,iPad Air,MCFX4HN/A,11-inch iPad Air Wi-Fi + Cellular 128GB - Starlight,-,Wi-Fi + Cellular,,128GB,Starlight,,"74,900.00"
